time,ax,ay,az,aT
0.004353,-0.0230,0.0830,-0.2330,0.248
0.004881,0.0710,0.1380,-0.1380,0.208
0.005245,0.0350,0.1570,-0.0570,0.171
0.007781,0.1710,0.1040,-0.0290,0.202
0.012857,0.2530,0.1330,0.0790,0.297
0.016639,0.2820,0.1220,0.1200,0.330
0.033589,0.2250,0.0420,0.3250,0.398
0.034085,0.2120,0.0570,-0.2050,0.300
0.034359,-0.0190,0.1940,0.0660,0.206
0.036984,-0.0720,0.1820,0.1070,0.223
0.049053,-0.1600,0.1600,0.0250,0.228
0.049457,-0.1050,0.1180,-0.0290,0.161
0.052248,-0.1610,0.0360,-0.1510,0.224
0.055867,-0.0140,0.0240,-0.2190,0.221
0.062787,-0.0320,0.1640,-0.0960,0.193
0.065537,0.0190,0.1770,-0.2730,0.326
0.071446,-0.0520,0.2320,-0.2450,0.341
0.075510,-0.0150,0.1650,-0.0280,0.168
0.080993,-0.0340,0.1320,-0.0690,0.153
0.085200,-0.0380,0.1750,0.1090,0.210
0.092125,0.0530,0.1770,-0.0810,0.202
0.095048,-0.0050,0.2070,0.2310,0.310
0.101337,-0.1380,0.1470,0.1910,0.278
0.105094,-0.1130,0.1630,0.3130,0.371
0.110498,-0.0480,0.0970,0.4490,0.462
0.115013,-0.1160,0.1800,0.4360,0.486
0.121899,-0.2130,0.0580,0.3400,0.405
0.125697,-0.1440,0.1000,0.3530,0.394
0.131033,-0.1850,0.1960,0.2310,0.355
0.134699,-0.1570,0.2100,0.2440,0.358
0.141456,-0.1380,0.1990,0.2990,0.385
0.145810,-0.1780,0.1840,0.1490,0.296
0.149311,-0.1920,0.1560,0.1630,0.296
0.155022,-0.2610,0.1420,0.1360,0.327
0.159280,-0.1860,0.0960,0.0950,0.230
0.164158,-0.2560,0.1490,0.0130,0.296
0.171308,-0.2860,0.2160,0.1630,0.394
0.174236,-0.2890,0.2290,0.1220,0.388
0.179581,-0.2010,0.1650,0.1630,0.307
0.184648,-0.2720,0.0950,0.1230,0.313
0.201168,-0.1390,0.1200,0.2050,0.275
0.201803,-0.1010,0.1190,0.1780,0.237
0.202270,-0.1010,0.0350,0.0690,0.127
0.204993,-0.0640,0.1140,0.0830,0.155
0.209662,-0.0520,0.1120,0.0420,0.130
0.213251,0.0000,0.0820,-0.1880,0.205
0.218184,-0.0940,0.0140,-0.0530,0.109
0.223919,-0.0670,0.1340,-0.0390,0.155
0.228779,-0.1640,0.0240,0.1110,0.199
0.232885,-0.1500,0.0230,-0.0260,0.154
0.238408,-0.1830,0.0330,-0.0120,0.186
0.243038,-0.2220,-0.0080,0.0420,0.226
0.249181,-0.1950,-0.0510,0.1510,0.252
0.252965,-0.1940,-0.1080,-0.1470,0.266
0.257497,-0.1860,-0.0890,-0.0670,0.217
0.263281,-0.1580,0.0580,-0.0930,0.192
0.267437,-0.2810,-0.1350,-0.2160,0.379
0.272394,-0.1460,-0.0300,-0.2560,0.296
0.277679,-0.2310,-0.0300,-0.2840,0.367
0.282543,-0.2850,-0.0600,-0.2700,0.397
0.288948,-0.2450,-0.0770,-0.3650,0.446
0.291900,-0.3130,-0.0530,-0.3520,0.474
0.297036,-0.2980,-0.0260,-0.4200,0.516
0.302446,-0.4190,-0.0420,-0.4480,0.615
0.306874,-0.3920,-0.0850,-0.5160,0.654
0.311911,-0.4600,-0.0730,-0.3250,0.568
0.316644,-0.3970,-0.2090,-0.3540,0.571
0.334415,-0.2990,-0.0590,-0.4760,0.565
0.335258,-0.3550,-0.0330,-0.2990,0.465
0.335697,-0.3420,-0.1160,-0.3400,0.496
0.336095,-0.3250,0.0560,-0.4220,0.536
0.341957,-0.2420,0.0150,-0.3400,0.418
0.345906,-0.3110,-0.0540,-0.2990,0.435
0.350988,-0.3260,0.0000,-0.2720,0.425
0.355941,-0.3360,0.0510,-0.1360,0.366
0.361187,-0.2530,0.0110,-0.3410,0.425
0.367012,-0.2280,0.0640,-0.3130,0.392
0.372009,-0.1890,0.0240,-0.2040,0.279
0.375920,-0.1320,0.0350,-0.2040,0.245
0.382156,-0.0670,-0.0050,-0.1910,0.202
0.385657,-0.0580,0.0900,-0.1360,0.173
0.390897,0.0060,0.0900,-0.1220,0.152
0.395329,0.0480,0.1620,-0.0810,0.187
0.400856,0.0970,0.2570,-0.2300,0.358
0.406411,0.0650,0.1890,-0.1750,0.266
0.410887,0.1970,0.2440,-0.2030,0.374
0.415259,0.1380,0.1930,-0.0660,0.246
0.421938,0.1460,0.3160,0.0430,0.351
0.424881,0.2240,0.3440,0.1250,0.429
0.430173,0.3440,0.3320,0.0980,0.488
0.434825,0.1890,0.2520,0.2490,0.402
0.439931,0.2270,0.2650,0.1260,0.371
0.447391,0.2790,0.3070,0.2630,0.491
0.449314,0.3450,0.2810,0.2220,0.497
0.460688,0.2660,0.2530,0.2370,0.437
0.461311,0.2340,0.3070,0.2380,0.453
0.465109,0.2310,0.4160,0.2240,0.526
0.469102,0.2420,0.3200,0.2920,0.496
0.476815,0.3240,0.3400,0.2540,0.534
0.478830,0.2370,0.3360,0.2680,0.491
0.485345,0.2480,0.4980,0.2680,0.618
0.488596,0.2460,0.4410,0.1460,0.526
0.493855,0.1620,0.5150,0.1490,0.560
0.498658,0.1310,0.5370,0.0400,0.554
0.505692,0.1150,0.4240,0.0680,0.445
0.508444,0.2360,0.5990,0.0000,0.644
0.513526,0.1380,0.4950,-0.0650,0.518
0.518639,0.2300,0.6120,-0.0910,0.660
0.524611,0.0650,0.5820,-0.0370,0.587
0.529014,0.1170,0.4300,-0.0640,0.450
0.533208,0.1430,0.4030,-0.0200,0.428
0.539089,0.0990,0.4390,0.0210,0.451
0.543659,0.0990,0.3960,0.1160,0.424
0.547786,0.1120,0.3670,0.0760,0.391
0.553092,0.1520,0.2290,0.1460,0.311
0.557530,0.0010,0.3480,0.1730,0.389
0.564345,0.0290,0.1000,0.0780,0.130
0.567591,0.0160,0.1640,-0.0170,0.166
0.572513,-0.0640,0.1890,-0.0290,0.202
0.577240,-0.0510,0.2920,-0.0830,0.308
0.583007,0.0320,0.2190,-0.2180,0.311
0.597253,-0.1300,0.2010,-0.2860,0.373
0.598140,-0.1270,0.2340,-0.3530,0.442
0.598517,-0.1000,0.3090,-0.3250,0.459
0.603464,-0.1280,0.2640,-0.3250,0.438
0.608381,-0.1700,0.1920,-0.3930,0.469
0.612202,-0.1400,0.2020,-0.2960,0.385
0.616682,-0.0730,0.2380,-0.2270,0.337
0.622478,-0.1570,0.1950,-0.2680,0.367
0.626677,-0.1460,0.1790,-0.1040,0.253
0.631768,-0.1170,0.1020,-0.2130,0.264
0.636810,-0.0520,0.1130,-0.0630,0.139
0.642756,-0.0670,0.0960,-0.1980,0.230
0.646526,-0.0690,0.0800,-0.0490,0.116
0.651789,-0.0080,-0.0140,-0.1700,0.171
0.656010,-0.1180,0.0110,-0.1840,0.219
0.661792,-0.1190,-0.1010,-0.1830,0.241
0.666256,-0.1880,-0.0620,-0.0880,0.217
0.671961,-0.1930,-0.1860,-0.0630,0.275
0.675728,-0.1380,-0.1190,-0.0490,0.189
0.682710,-0.1110,-0.1480,0.1280,0.225
0.685431,-0.1510,-0.2320,0.1420,0.311
0.691237,-0.1440,-0.1920,0.1400,0.278
0.696313,-0.1830,-0.1670,0.1400,0.285
0.701792,-0.1820,-0.2260,0.0450,0.294
0.705355,-0.1250,-0.1500,0.0180,0.196
0.711196,-0.0810,-0.2460,-0.0240,0.260
0.715363,-0.0250,-0.0610,-0.1720,0.184
0.732966,-0.1040,-0.0140,-0.2530,0.274
0.733331,-0.0490,-0.1320,-0.3480,0.375
0.733626,-0.0510,-0.1570,-0.4710,0.499
0.734581,-0.1980,-0.1120,-0.4430,0.498
0.747420,-0.2520,-0.0950,-0.5510,0.613
0.747968,-0.1420,-0.1050,-0.8770,0.895
0.749452,-0.0890,-0.0090,-0.8900,0.894
0.755712,0.0050,-0.0050,-0.9570,0.957
0.760811,-0.0890,0.0150,-1.1200,1.124
0.764319,-0.1430,0.0340,-1.0510,1.061
0.769644,-0.1520,-0.0150,-1.1180,1.128
0.774214,-0.2990,0.0080,-1.0640,1.105
0.779198,-0.4030,-0.0080,-0.9680,1.049
0.785383,-0.4800,-0.1030,-0.9420,1.062
0.789037,-0.4350,-0.2380,-0.7680,0.914
0.793846,-0.4120,-0.2620,-0.6320,0.799
0.800545,-0.3770,-0.2320,-0.6060,0.750
0.803611,-0.5190,-0.2970,-0.5250,0.796
0.808686,-0.4060,-0.2620,-0.4870,0.686
0.813702,-0.2880,-0.1880,-0.3250,0.473
0.818481,-0.2690,-0.2390,-0.1750,0.400
0.824216,-0.3740,-0.2640,-0.2300,0.512
0.828554,-0.3010,-0.2560,-0.2460,0.465
0.833212,-0.2570,-0.2240,-0.2880,0.446
0.839603,-0.3120,-0.1670,-0.1930,0.403
0.843418,-0.2990,-0.1370,-0.1380,0.357
0.848039,-0.2590,-0.2010,-0.2770,0.429
0.852914,-0.2600,-0.0320,-0.2770,0.381
0.857966,-0.1520,-0.1640,-0.2090,0.306
0.863420,-0.1000,-0.1180,-0.2500,0.294
0.867780,-0.0870,-0.0780,-0.1010,0.154
0.879217,-0.0210,-0.0990,-0.0350,0.107
0.879879,0.0990,-0.0780,0.0060,0.126
0.882428,0.2340,-0.0030,0.0190,0.235
0.887328,0.1770,-0.0830,0.0460,0.201
0.892064,0.2020,0.0880,0.2360,0.323
0.896797,0.1210,0.0690,0.2350,0.273
0.903013,0.1640,0.1860,0.2210,0.332
0.906943,0.1400,0.1470,0.3170,0.376
0.911896,0.1000,0.2490,0.3300,0.425
0.917958,0.1850,0.2150,0.4240,0.510
0.921672,0.1460,0.2080,0.4370,0.506
0.926701,0.0850,0.2550,0.4790,0.549
0.931646,0.2080,0.3400,0.4240,0.582
0.936496,0.1270,0.4120,0.4510,0.624
0.942185,0.0730,0.4970,0.2470,0.560
0.946427,0.0910,0.3560,0.2350,0.436
0.951324,0.0210,0.5460,0.1940,0.580
0.957398,0.0330,0.5750,0.1670,0.600
0.961264,-0.0230,0.5770,0.0850,0.584
0.966012,-0.0650,0.5050,-0.0080,0.509
0.971979,-0.0680,0.6250,-0.0750,0.633
0.975990,0.0910,0.5720,-0.0350,0.580
0.981954,0.1010,0.6830,-0.0880,0.696
0.986213,0.0480,0.6290,-0.1660,0.652
0.991122,0.1110,0.5990,-0.0840,0.615
0.996752,0.1900,0.6560,0.0370,0.684
1.001074,0.2270,0.7680,0.1330,0.812
1.014552,0.1690,0.6860,0.1100,0.715
1.015452,0.2060,0.6710,0.0280,0.702
1.015815,0.1780,0.6740,0.0420,0.698
1.032698,0.1650,0.7040,-0.0130,0.723
1.033274,0.0620,0.6650,0.0450,0.669
1.033608,0.1170,0.6650,-0.0640,0.678
1.036351,-0.0300,0.6420,0.0580,0.645
1.040066,-0.0670,0.6600,0.0030,0.663
1.044929,-0.0890,0.6510,0.1150,0.667
1.049963,-0.0040,0.6240,0.1420,0.640
1.054779,-0.0820,0.6010,0.1280,0.620
1.059782,-0.1610,0.6320,0.0860,0.658
1.065598,-0.1280,0.6730,-0.0330,0.686
1.069129,-0.1270,0.6580,-0.0330,0.671
1.075621,-0.0740,0.7010,-0.1140,0.714
1.079143,0.0300,0.6080,-0.0730,0.613
1.084346,0.0710,0.6630,-0.0150,0.667
1.089295,0.2140,0.6740,-0.1090,0.716
1.093995,0.2200,0.6490,0.0540,0.687
1.098863,0.2940,0.6100,-0.0950,0.684
1.105320,0.3920,0.5880,0.0050,0.707
1.109055,0.4760,0.6140,0.1830,0.798
1.115060,0.5640,0.5620,0.2380,0.831
1.118417,0.6130,0.4960,0.2250,0.820
1.123585,0.7720,0.5090,0.2310,0.953
1.128591,0.6810,0.4670,0.3000,0.879
1.133310,0.7180,0.5900,0.4360,1.027
1.149523,0.8120,0.4260,0.3550,0.983
1.150097,0.6560,0.4670,0.3610,0.882
1.150413,0.5560,0.4340,0.1580,0.723
1.168814,0.6230,0.3340,0.0900,0.713
1.169389,0.4590,0.4790,-0.0850,0.669
1.169604,0.3350,0.5830,-0.1870,0.698
1.169877,0.2360,0.5460,-0.3360,0.683
1.173118,0.2620,0.5380,-0.4980,0.779
1.177457,0.1660,0.5300,-0.6470,0.853
1.183791,0.2210,0.4960,-0.7620,0.936
1.188179,0.2300,0.4720,-0.7740,0.935
1.193779,0.3360,0.5470,-0.8820,1.091
1.197278,0.3880,0.5410,-0.7990,1.040
1.202483,0.4650,0.5460,-0.7620,1.046
1.206988,0.3630,0.3610,-0.8830,1.021
1.213175,0.3730,0.4660,-0.8140,1.009
1.216802,0.3700,0.3810,-0.6640,0.850
1.222659,0.3090,0.4010,-0.6830,0.850
1.227079,0.1670,0.4510,-0.5320,0.717
1.233080,0.1510,0.2450,-0.5320,0.605
1.236471,0.1480,0.3400,-0.5180,0.637
1.241978,0.1040,0.2400,-0.5140,0.577
1.246243,-0.0220,0.1980,-0.5410,0.577
1.251342,-0.0100,0.2680,-0.4180,0.497
1.256538,0.0300,0.2020,-0.3090,0.370
1.262546,-0.0550,0.0780,-0.2410,0.259
1.266288,0.0110,0.0000,-0.1050,0.106
1.272472,0.0780,-0.0090,0.0980,0.126
1.275923,0.1040,-0.1550,0.1660,0.250
1.281318,0.0810,-0.1110,0.2730,0.306
1.285701,0.1750,-0.0920,0.3680,0.418
1.300443,0.1870,-0.0340,0.5310,0.564
1.300960,0.1580,-0.1670,0.7080,0.744
1.302649,0.2110,-0.1720,0.7610,0.808
1.319629,0.2080,-0.2920,0.8430,0.916
1.320164,0.0840,-0.2090,0.7480,0.781
1.320436,0.0830,-0.1560,0.8430,0.861
1.320650,0.0010,-0.1020,0.7740,0.781
1.325381,-0.0130,-0.1170,0.7060,0.716
1.330791,-0.0950,-0.0950,0.5700,0.586
1.334931,-0.1100,-0.0320,0.4480,0.462
1.340928,-0.0940,-0.0830,0.3390,0.361
1.344889,-0.1800,-0.0340,0.1490,0.236
1.351024,-0.2130,-0.0280,0.1100,0.241
1.354960,-0.1510,-0.0500,0.0570,0.169
1.360276,-0.1390,-0.0640,0.0440,0.159
1.364925,-0.1200,0.0240,-0.0640,0.138
1.369356,-0.2240,-0.0640,0.1700,0.288
1.374302,-0.1650,-0.0970,0.0630,0.202
1.379394,-0.2150,-0.0810,0.1160,0.257
1.385002,-0.2890,-0.1810,0.2400,0.417
1.390835,-0.2950,-0.0490,0.3230,0.440
1.393966,-0.2320,-0.0270,0.1610,0.284
1.399263,-0.3000,-0.0150,0.0910,0.314
1.405174,-0.3010,0.1300,-0.0710,0.335
1.408686,-0.2350,-0.0090,-0.3010,0.382
1.413923,-0.1150,0.0960,-0.5050,0.527
1.418818,-0.2570,-0.0660,-0.6690,0.720
1.424257,-0.2440,0.0180,-0.6560,0.700
1.429759,-0.2330,-0.0990,-0.6150,0.665
1.433621,-0.3170,-0.1870,-0.3850,0.533
1.447809,-0.3030,-0.3040,-0.1720,0.462
1.448735,-0.3580,-0.4930,0.2200,0.648
1.449429,-0.5230,-0.5460,0.4220,0.866
1.452982,-0.5380,-0.6800,0.8290,1.200
1.458169,-0.6190,-0.8960,1.2630,1.668
1.463795,-0.6850,-0.9340,1.5880,1.966
1.469365,-0.5310,-1.0710,1.5720,1.975
1.472786,-0.6490,-0.9910,1.7060,2.077
1.477698,-0.7100,-0.9540,1.6360,2.023
1.482468,-0.6760,-0.7710,1.3900,1.727
1.488368,-0.6960,-0.6460,1.1300,1.476
1.492465,-0.6640,-0.6040,0.7620,1.177
1.497645,-0.7100,-0.4480,0.5620,1.010
1.503078,-0.6220,-0.2160,0.1390,0.673
1.508409,-0.7310,-0.2330,-0.2130,0.796
1.512025,-0.8290,-0.0330,-0.4440,0.941
1.516781,-0.8870,0.0590,-0.8380,1.222
1.521739,-0.8930,0.1250,-0.9880,1.338
1.526579,-0.8450,0.1680,-1.0010,1.321
1.531675,-0.9080,0.2260,-1.0680,1.420
1.536430,-0.7940,0.2470,-0.8910,1.219
1.542476,-0.7360,0.3390,-0.7690,1.117
1.547666,-0.6500,0.2150,-0.5510,0.879
1.551549,-0.5370,0.0530,-0.2800,0.608
1.556197,-0.2960,-0.0080,-0.0380,0.299
1.561083,-0.2320,-0.0710,0.1910,0.309
1.566258,-0.1400,-0.0510,0.5570,0.577
1.580322,-0.1000,-0.1940,0.8690,0.896
1.581335,-0.0450,-0.2960,1.0440,1.086
1.581995,-0.0540,-0.2620,1.2460,1.274
1.589943,-0.0610,-0.4350,1.1070,1.191
1.590770,-0.1750,-0.5130,1.2270,1.341
1.595713,-0.2350,-0.4830,1.3070,1.413
1.601067,-0.2680,-0.5780,1.2370,1.391
1.605409,-0.3830,-0.6060,1.3570,1.535
1.610986,-0.4700,-0.7720,1.4100,1.675
1.615256,-0.6260,-0.7500,1.4220,1.725
1.622228,-0.6600,-0.7970,1.5300,1.847
1.626415,-0.6120,-0.8480,1.4880,1.819
1.630857,-0.5390,-0.8200,1.4330,1.737
1.635271,-0.5900,-0.7940,1.3100,1.642
1.640419,-0.3450,-0.6220,1.1470,1.350
1.645758,-0.2930,-0.6300,0.9030,1.139
1.650148,-0.2030,-0.4640,0.5640,0.758
1.655160,-0.1220,-0.4450,0.3170,0.560
1.660592,-0.0750,-0.2110,-0.0750,0.236
1.666169,-0.0310,-0.1860,-0.2770,0.335
1.669604,-0.1350,-0.0520,-0.4660,0.488
1.674449,-0.1030,0.0010,-0.5450,0.555
1.679316,-0.1790,-0.0680,-0.5970,0.627
1.684390,-0.2540,-0.1090,-0.5140,0.584
1.689178,-0.2850,-0.1210,-0.5940,0.670
1.694110,-0.2060,-0.0640,-0.5250,0.568
1.699159,-0.3020,-0.1000,-0.6330,0.708
1.715621,-0.3150,-0.1090,-0.5640,0.655
1.716854,-0.2170,-0.1020,-0.5770,0.625
1.717489,-0.2140,-0.1360,-0.4540,0.520
1.718736,-0.1690,-0.1410,-0.3580,0.420
1.730730,-0.2590,-0.2820,-0.3860,0.544
1.731265,-0.1450,-0.2170,-0.4400,0.512
1.733597,-0.2330,-0.2480,-0.3730,0.505
1.739075,-0.2250,-0.3050,-0.3460,0.513
1.746407,-0.2720,-0.2930,-0.3330,0.520
1.747880,-0.4000,-0.2950,-0.2650,0.563
1.753233,-0.3200,-0.2760,-0.2010,0.468
1.757940,-0.5150,-0.3440,-0.2160,0.656
1.763033,-0.4390,-0.3590,-0.0680,0.571
1.767981,-0.4990,-0.3750,0.0410,0.626
1.773179,-0.4640,-0.3510,0.0760,0.587
1.777590,-0.4010,-0.3110,0.1300,0.524
1.785323,-0.2720,-0.2740,0.2390,0.454
1.788920,-0.0360,-0.3620,0.0350,0.365
1.792727,-0.0850,-0.3560,-0.1570,0.398
1.797424,-0.0020,-0.3060,-0.1980,0.364
1.802537,0.0140,-0.3000,-0.1160,0.322
1.807313,-0.0790,-0.1310,-0.1560,0.218
1.812515,0.0110,-0.2320,-0.2380,0.333
1.817124,-0.0800,-0.2790,-0.2240,0.367
1.824290,-0.1570,-0.1790,-0.2640,0.356
1.826951,-0.2450,-0.2150,-0.3590,0.485
1.832123,-0.2650,-0.1720,-0.4430,0.544
1.836935,-0.3350,-0.0840,-0.5790,0.674
1.849357,-0.2690,-0.1480,-0.5520,0.632
1.849921,-0.2710,0.0330,-0.6880,0.740
1.851941,-0.2490,0.0210,-0.7160,0.758
1.865306,-0.2220,-0.0560,-0.9200,0.948
1.865873,-0.2780,-0.0100,-0.9200,0.961
1.866742,-0.2940,0.0090,-1.0430,1.084
1.872296,-0.2970,0.0070,-1.0700,1.110
1.876052,-0.3950,-0.0960,-1.0150,1.093
1.881141,-0.4140,0.0190,-1.0150,1.096
1.885816,-0.2840,-0.1650,-1.0140,1.066
1.891401,-0.3560,-0.1390,-0.9890,1.060
1.895704,-0.3640,-0.1450,-1.0160,1.089
1.903862,-0.4280,-0.1360,-1.1240,1.210
1.906715,-0.3440,-0.2360,-0.9600,1.047
1.911280,-0.2880,-0.2150,-0.8670,0.939
1.915498,-0.2710,-0.2300,-0.8800,0.949
1.922157,-0.2270,-0.2180,-0.6490,0.721
1.925134,-0.2370,-0.2730,-0.4580,0.583
1.931174,-0.2980,-0.2920,-0.2440,0.483
1.935265,-0.2090,-0.3710,-0.1220,0.443
1.942663,-0.2420,-0.3700,-0.0010,0.442
1.945017,-0.2070,-0.4930,0.1210,0.548
1.950545,-0.2150,-0.3950,0.1030,0.461
1.955777,-0.1640,-0.4610,0.1160,0.503
1.959659,-0.0350,-0.4220,0.1570,0.452
1.965059,-0.0950,-0.3980,0.1160,0.425
1.969734,-0.1130,-0.4130,-0.1180,0.444
1.974600,-0.1350,-0.3610,-0.0510,0.389
1.980943,-0.1300,-0.2840,-0.0370,0.315
1.985249,-0.1810,-0.4130,-0.2260,0.504
1.996843,-0.2220,-0.4050,-0.2290,0.516
1.997777,-0.2870,-0.2310,-0.4050,0.547
1.999046,-0.3410,-0.2240,-0.4050,0.575
2.008342,-0.3680,-0.2580,-0.4860,0.662
2.008973,-0.4130,-0.1970,-0.5970,0.752
2.014208,-0.3850,-0.1460,-0.5140,0.659
2.020352,-0.2360,-0.1090,-0.5140,0.576
2.024582,-0.2510,-0.1790,-0.4870,0.576
2.029565,-0.1500,-0.2950,-0.4210,0.536
2.033659,-0.2300,-0.2110,-0.2850,0.423
2.038743,-0.1450,-0.1540,-0.1490,0.259
2.043562,-0.1950,-0.2330,-0.1900,0.358
2.048570,-0.0790,-0.2640,-0.0030,0.276
2.053425,-0.2100,-0.2980,0.0780,0.373
2.059661,-0.2590,-0.3480,0.1860,0.472
2.063926,-0.1870,-0.3570,0.3900,0.561
2.068342,-0.3300,-0.4540,0.5350,0.775
2.072948,-0.3960,-0.4600,0.6570,0.894
2.077941,-0.4110,-0.4980,0.7250,0.971
2.082890,-0.3330,-0.5360,0.6970,0.940
2.088537,-0.2810,-0.5230,0.7070,0.923
2.092560,-0.2730,-0.5040,0.8150,0.996
2.098908,-0.2680,-0.4620,0.8160,0.975
2.103404,-0.1960,-0.3670,0.8840,0.977
2.107363,-0.1070,-0.3770,0.8820,0.965
2.113981,0.0040,-0.3600,0.9360,1.003
2.117128,0.0200,-0.4420,0.8690,0.975
2.132093,0.0090,-0.4280,0.9510,1.043
2.132685,0.0480,-0.3320,0.8270,0.892
2.133026,-0.0160,-0.4110,1.0450,1.123
2.141462,0.0160,-0.4100,1.0860,1.161
2.142522,-0.0730,-0.3420,1.1950,1.245
2.146906,0.0380,-0.3800,1.0980,1.163
2.151963,-0.1050,-0.3090,1.0160,1.067
2.156343,-0.0590,-0.3790,1.0710,1.138
2.161389,-0.1350,-0.2730,1.0580,1.101
2.166331,-0.1490,-0.1390,1.0440,1.064
2.172094,-0.0510,0.0330,0.9630,0.965
2.177533,0.0610,0.3110,0.4600,0.559
2.182265,0.0220,0.1390,0.1350,0.195
2.186369,0.1310,0.2490,-0.3650,0.461
2.191092,0.0590,0.3490,-0.6080,0.704
2.195771,0.0290,0.2760,-0.7840,0.832
2.201133,-0.0150,0.3700,-0.8920,0.966
2.205660,-0.0320,0.2630,-0.8360,0.877
2.211402,-0.1560,0.3380,-0.9040,0.978
2.216926,-0.2250,0.2530,-0.4820,0.589
2.222554,-0.2650,0.3220,-0.1960,0.461
2.225375,-0.1970,0.2180,0.0480,0.298
2.230917,-0.2440,0.1290,0.4420,0.521
2.235369,-0.1680,-0.1470,0.6580,0.695
2.240691,-0.1860,-0.1640,0.7250,0.766
2.246434,-0.2420,-0.1770,0.9800,1.025
2.250439,-0.3240,-0.2320,1.2230,1.286
2.256338,-0.4070,-0.3570,1.3990,1.500
2.261144,-0.6240,-0.3870,1.5470,1.712
2.265122,-0.7310,-0.5400,1.7090,1.936
2.269513,-0.8630,-0.6410,1.9800,2.253
2.282063,-0.9250,-0.6610,1.8290,2.154
2.282765,-1.0140,-0.7120,2.0450,2.391
2.284766,-0.9660,-0.6580,1.9900,2.308
2.292996,-0.8920,-0.6340,1.8800,2.175
2.295694,-0.8330,-0.4520,1.7970,2.032
2.299625,-0.7900,-0.2870,1.4700,1.693
2.305506,-0.7210,-0.2630,1.5110,1.695
2.309045,-0.6020,-0.2020,1.1030,1.273
2.314093,-0.4860,-0.1600,0.7370,0.897
2.318739,-0.4140,-0.0940,0.8060,0.911
2.323910,-0.3310,-0.0720,0.7810,0.851
2.329207,-0.4650,-0.1610,0.6190,0.791
2.335451,-0.3660,-0.0220,0.0900,0.378
2.338522,-0.3600,0.2240,0.1190,0.440
2.344205,-0.2700,0.2520,0.1210,0.389
2.348192,-0.1510,0.3060,-0.0400,0.344
2.353414,-0.0030,0.2490,-0.4320,0.499
2.358265,0.1320,0.2880,-0.6340,0.709
2.363302,0.3360,0.2720,-0.7130,0.834
2.368310,0.2950,0.3660,-1.2290,1.316
2.374412,0.4190,0.4330,-1.3760,1.502
2.377793,0.4620,0.4880,-1.3740,1.530
2.383611,0.5200,0.5180,-1.5770,1.739
2.388870,0.5380,0.3470,-1.5620,1.688
2.392732,0.5170,0.3410,-1.6690,1.780
2.397458,0.4690,0.3670,-1.6550,1.759
2.402715,0.5170,0.3130,-1.5590,1.672
2.407576,0.3740,0.2760,-1.2580,1.341
2.413786,0.3140,0.2140,-1.0810,1.146
2.417106,0.1860,0.2080,-0.9450,0.985
2.432278,0.1390,0.1220,-0.8220,0.843
2.433331,0.0510,-0.0580,-0.5910,0.596
2.433981,-0.0110,-0.0880,-0.5500,0.557
2.436952,0.1990,-0.0090,-0.4820,0.522
2.446564,0.0960,-0.1350,-0.4960,0.523
2.447046,0.1020,-0.0290,-0.4690,0.481
2.453594,0.1210,0.0350,-0.4280,0.446
2.456462,0.1960,0.0060,-0.2780,0.340
2.462581,0.1480,-0.0930,-0.4010,0.437
2.466422,0.1680,-0.1240,-0.4010,0.452
2.472065,0.0800,-0.1010,-0.5100,0.526
2.476598,0.0740,-0.1330,-0.5230,0.545
2.481470,0.1490,-0.1510,-0.4960,0.539
2.486299,-0.0080,-0.1560,-0.6860,0.704
2.492536,-0.1510,-0.1350,-0.7540,0.781
2.495921,-0.1870,-0.1130,-0.8220,0.851
2.502480,-0.2040,-0.1780,-0.8640,0.905
2.505686,-0.2140,-0.1140,-0.8230,0.858
2.511194,-0.1990,-0.0240,-0.7950,0.820
2.515895,-0.1030,-0.0300,-0.8900,0.896
2.522931,0.0600,0.1130,-0.9280,0.937
2.525475,0.1520,0.0930,-0.8450,0.864
2.532446,0.3950,0.1700,-0.9130,1.009
2.535227,0.5000,0.0560,-0.9800,1.102
2.541857,0.4780,0.1560,-1.0020,1.121
2.546385,0.6740,0.0540,-0.8240,1.066
2.550665,0.5740,0.0360,-0.9730,1.130
2.567682,0.4620,0.0870,-1.0130,1.117
2.568226,0.4170,-0.0400,-1.0640,1.143
2.568594,0.3010,-0.0700,-1.0360,1.081
2.579117,0.2330,-0.0030,-1.0900,1.115
2.579677,0.0160,-0.0300,-1.0770,1.078
2.579990,0.0210,-0.0830,-1.0490,1.052
2.585601,-0.0020,0.0150,-1.0090,1.009
2.589393,-0.0100,-0.0760,-0.9690,0.972
2.594383,0.0110,-0.0310,-1.0790,1.080
2.599546,0.0320,-0.0050,-0.9690,0.970
2.605688,0.0360,-0.0270,-0.9020,0.903
2.610656,-0.0140,-0.0630,-0.7940,0.797
2.614165,-0.0120,-0.0450,-0.7540,0.755
2.619371,-0.1180,0.0470,-0.7670,0.777
2.624697,-0.1050,0.0360,-0.6580,0.667
2.629002,-0.1340,0.0130,-0.6450,0.659
2.634271,-0.1510,0.0820,-0.7270,0.747
2.639475,-0.1260,0.1510,-0.7250,0.751
2.643707,-0.1720,0.2320,-0.6840,0.742
2.649897,-0.2200,0.2460,-0.6970,0.771
2.653328,-0.1040,0.2740,-0.7650,0.819
